fn_224_0 = .text:0x00000000; // type:function size:0x2EA4
lbl_224_rodata_2C = .rodata:0x0000002C; // type:object size:0x4 data:float
lbl_224_rodata_30 = .rodata:0x00000030; // type:object size:0x4 data:float
lbl_224_rodata_34 = .rodata:0x00000034; // type:object size:0x4 data:float
lbl_224_rodata_38 = .rodata:0x00000038; // type:object size:0x4 data:float
lbl_224_rodata_3C = .rodata:0x0000003C; // type:object size:0x4 data:float
lbl_224_rodata_40 = .rodata:0x00000040; // type:object size:0x4 data:float
lbl_224_rodata_44 = .rodata:0x00000044; // type:object size:0x4 data:float
lbl_224_rodata_48 = .rodata:0x00000048; // type:object size:0x4 data:float
lbl_224_rodata_4C = .rodata:0x0000004C; // type:object size:0x4 data:float
lbl_224_rodata_50 = .rodata:0x00000050; // type:object size:0x4 data:float
lbl_224_rodata_54 = .rodata:0x00000054; // type:object size:0x4 data:float
lbl_224_rodata_58 = .rodata:0x00000058; // type:object size:0x4 data:float
lbl_224_rodata_5C = .rodata:0x0000005C; // type:object size:0x4 data:float
lbl_224_rodata_60 = .rodata:0x00000060; // type:object size:0x4 data:float
lbl_224_rodata_64 = .rodata:0x00000064; // type:object size:0x4 data:float
lbl_224_rodata_68 = .rodata:0x00000068; // type:object size:0x4 data:float
lbl_224_rodata_6C = .rodata:0x0000006C; // type:object size:0x4 data:float
lbl_224_rodata_70 = .rodata:0x00000070; // type:object size:0x4 data:float
lbl_224_rodata_74 = .rodata:0x00000074; // type:object size:0x4 data:float
lbl_224_rodata_78 = .rodata:0x00000078; // type:object size:0x4 data:float
lbl_224_rodata_7C = .rodata:0x0000007C; // type:object size:0x4 data:float
lbl_224_rodata_80 = .rodata:0x00000080; // type:object size:0x4 data:float
lbl_224_rodata_84 = .rodata:0x00000084; // type:object size:0x4 data:float
lbl_224_rodata_88 = .rodata:0x00000088; // type:object size:0x4 data:float
lbl_224_rodata_8C = .rodata:0x0000008C; // type:object size:0x4 data:float
lbl_224_rodata_90 = .rodata:0x00000090; // type:object size:0x4 data:float
lbl_224_rodata_94 = .rodata:0x00000094; // type:object size:0x4 data:float
lbl_224_rodata_98 = .rodata:0x00000098; // type:object size:0x4 data:float
lbl_224_rodata_9C = .rodata:0x0000009C; // type:object size:0x4 data:float
lbl_224_rodata_A0 = .rodata:0x000000A0; // type:object size:0x4 data:float
lbl_224_rodata_A4 = .rodata:0x000000A4; // type:object size:0x4 data:float
lbl_224_rodata_A8 = .rodata:0x000000A8; // type:object size:0x4 data:float
lbl_224_rodata_AC = .rodata:0x000000AC; // type:object size:0x4 data:float
lbl_224_rodata_B0 = .rodata:0x000000B0; // type:object size:0x4 data:float
lbl_224_rodata_B4 = .rodata:0x000000B4; // type:object size:0x4 data:float
lbl_224_rodata_B8 = .rodata:0x000000B8; // type:object size:0x4 data:float
lbl_224_rodata_BC = .rodata:0x000000BC; // type:object size:0x4 data:float
lbl_224_rodata_C0 = .rodata:0x000000C0; // type:object size:0x4 data:float
lbl_224_rodata_C4 = .rodata:0x000000C4; // type:object size:0x4 data:float
lbl_224_rodata_C8 = .rodata:0x000000C8; // type:object size:0x4 data:float
lbl_224_rodata_CC = .rodata:0x000000CC; // type:object size:0x4 data:float
lbl_224_rodata_D0 = .rodata:0x000000D0; // type:object size:0x4 data:float
lbl_224_rodata_D4 = .rodata:0x000000D4; // type:object size:0x4 data:float
lbl_224_rodata_D8 = .rodata:0x000000D8; // type:object size:0x4 data:float
lbl_224_rodata_DC = .rodata:0x000000DC; // type:object size:0x4 data:float
lbl_224_rodata_E0 = .rodata:0x000000E0; // type:object size:0x4 data:float
lbl_224_rodata_E4 = .rodata:0x000000E4; // type:object size:0x4 data:float
lbl_224_rodata_E8 = .rodata:0x000000E8; // type:object size:0x4 data:float
lbl_224_rodata_EC = .rodata:0x000000EC; // type:object size:0x4 data:float
lbl_224_rodata_F0 = .rodata:0x000000F0; // type:object size:0x4 data:float
lbl_224_rodata_F4 = .rodata:0x000000F4; // type:object size:0x4 data:float
lbl_224_rodata_F8 = .rodata:0x000000F8; // type:object size:0x4 data:float
lbl_224_rodata_FC = .rodata:0x000000FC; // type:object size:0x4 data:float
lbl_224_rodata_100 = .rodata:0x00000100; // type:object size:0x4 data:float
lbl_224_rodata_104 = .rodata:0x00000104; // type:object size:0x4 data:float
lbl_224_rodata_108 = .rodata:0x00000108; // type:object size:0x4 data:float
lbl_224_rodata_10C = .rodata:0x0000010C; // type:object size:0x4 data:float
lbl_224_rodata_110 = .rodata:0x00000110; // type:object size:0x4 data:float
lbl_224_rodata_114 = .rodata:0x00000114; // type:object size:0x4 data:float
lbl_224_rodata_118 = .rodata:0x00000118; // type:object size:0x4 data:float
lbl_224_rodata_11C = .rodata:0x0000011C; // type:object size:0x4 data:float
lbl_224_rodata_120 = .rodata:0x00000120; // type:object size:0x4 data:float
lbl_224_rodata_124 = .rodata:0x00000124; // type:object size:0x4 data:float
lbl_224_rodata_128 = .rodata:0x00000128; // type:object size:0x4 data:float
lbl_224_rodata_12C = .rodata:0x0000012C; // type:object size:0x4 data:float
lbl_224_rodata_130 = .rodata:0x00000130; // type:object size:0x4 data:float
lbl_224_rodata_134 = .rodata:0x00000134; // type:object size:0x4 data:float
lbl_224_rodata_138 = .rodata:0x00000138; // type:object size:0x4 data:float
lbl_224_rodata_13C = .rodata:0x0000013C; // type:object size:0x4 data:float
lbl_224_rodata_140 = .rodata:0x00000140; // type:object size:0x4 data:float
lbl_224_rodata_144 = .rodata:0x00000144; // type:object size:0x4 data:float
lbl_224_rodata_148 = .rodata:0x00000148; // type:object size:0x4 data:float
lbl_224_rodata_14C = .rodata:0x0000014C; // type:object size:0x4 data:float
lbl_224_rodata_150 = .rodata:0x00000150; // type:object size:0x4 data:float
lbl_224_rodata_154 = .rodata:0x00000154; // type:object size:0x4 data:float
lbl_224_rodata_158 = .rodata:0x00000158; // type:object size:0x4 data:float
lbl_224_rodata_15C = .rodata:0x0000015C; // type:object size:0x4 data:float
lbl_224_rodata_160 = .rodata:0x00000160; // type:object size:0x4 data:float
lbl_224_rodata_164 = .rodata:0x00000164; // type:object size:0x4 data:float
lbl_224_rodata_168 = .rodata:0x00000168; // type:object size:0x4 data:float
lbl_224_rodata_16C = .rodata:0x0000016C; // type:object size:0x4 data:float
lbl_224_rodata_170 = .rodata:0x00000170; // type:object size:0x4 data:float
lbl_224_rodata_174 = .rodata:0x00000174; // type:object size:0x4 data:float
lbl_224_rodata_178 = .rodata:0x00000178; // type:object size:0x4 data:float
lbl_224_rodata_17C = .rodata:0x0000017C; // type:object size:0x4 data:float
lbl_224_rodata_180 = .rodata:0x00000180; // type:object size:0x4 data:float
lbl_224_rodata_184 = .rodata:0x00000184; // type:object size:0x4 data:float
lbl_224_rodata_188 = .rodata:0x00000188; // type:object size:0x4 data:float
lbl_224_rodata_18C = .rodata:0x0000018C; // type:object size:0x4 data:float
lbl_224_rodata_190 = .rodata:0x00000190; // type:object size:0x4 data:float
lbl_224_rodata_194 = .rodata:0x00000194; // type:object size:0x4 data:float
lbl_224_rodata_198 = .rodata:0x00000198; // type:object size:0x4 data:float
lbl_224_rodata_19C = .rodata:0x0000019C; // type:object size:0x4 data:float
lbl_224_rodata_1A0 = .rodata:0x000001A0; // type:object size:0x4 data:float
lbl_224_rodata_1A4 = .rodata:0x000001A4; // type:object size:0x4 data:float
lbl_224_rodata_1A8 = .rodata:0x000001A8; // type:object size:0x4 data:float
lbl_224_rodata_1AC = .rodata:0x000001AC; // type:object size:0x4 data:float
lbl_224_rodata_1B0 = .rodata:0x000001B0; // type:object size:0x4 data:float
lbl_224_rodata_1B4 = .rodata:0x000001B4; // type:object size:0x4 data:float
lbl_224_rodata_1B8 = .rodata:0x000001B8; // type:object size:0x4 data:float
lbl_224_rodata_1BC = .rodata:0x000001BC; // type:object size:0x4 data:float
lbl_224_rodata_1C0 = .rodata:0x000001C0; // type:object size:0x4 data:float
lbl_224_rodata_1C4 = .rodata:0x000001C4; // type:object size:0x4 data:float
lbl_224_rodata_1C8 = .rodata:0x000001C8; // type:object size:0x4 data:float
lbl_224_rodata_1CC = .rodata:0x000001CC; // type:object size:0x4 data:float
lbl_224_rodata_1D0 = .rodata:0x000001D0; // type:object size:0x4 data:float
lbl_224_rodata_1D4 = .rodata:0x000001D4; // type:object size:0x4 data:float
lbl_224_rodata_1D8 = .rodata:0x000001D8; // type:object size:0x4 data:float
lbl_224_rodata_1DC = .rodata:0x000001DC; // type:object size:0x4 data:float
lbl_224_rodata_1E0 = .rodata:0x000001E0; // type:object size:0x4 data:float
lbl_224_rodata_1E4 = .rodata:0x000001E4; // type:object size:0x4 data:float
lbl_224_rodata_1E8 = .rodata:0x000001E8; // type:object size:0x4 data:float
lbl_224_rodata_1EC = .rodata:0x000001EC; // type:object size:0x4 data:float
lbl_224_rodata_1F0 = .rodata:0x000001F0; // type:object size:0x4 data:float
lbl_224_rodata_1F4 = .rodata:0x000001F4; // type:object size:0x4 data:float
lbl_224_rodata_1F8 = .rodata:0x000001F8; // type:object size:0x4 data:float
lbl_224_rodata_1FC = .rodata:0x000001FC; // type:object size:0x4 data:float
lbl_224_rodata_200 = .rodata:0x00000200; // type:object size:0x4 data:float
lbl_224_rodata_204 = .rodata:0x00000204; // type:object size:0x4 data:float
lbl_224_rodata_208 = .rodata:0x00000208; // type:object size:0x4 data:float
lbl_224_rodata_20C = .rodata:0x0000020C; // type:object size:0x4 data:float
lbl_224_rodata_210 = .rodata:0x00000210; // type:object size:0x4 data:float
lbl_224_rodata_214 = .rodata:0x00000214; // type:object size:0x4 data:float
lbl_224_rodata_218 = .rodata:0x00000218; // type:object size:0x4 data:float
lbl_224_rodata_21C = .rodata:0x0000021C; // type:object size:0x4 data:float
lbl_224_rodata_220 = .rodata:0x00000220; // type:object size:0x4 data:float
lbl_224_rodata_224 = .rodata:0x00000224; // type:object size:0x4 data:float
lbl_224_rodata_228 = .rodata:0x00000228; // type:object size:0x4 data:float
lbl_224_rodata_22C = .rodata:0x0000022C; // type:object size:0x4 data:float
lbl_224_rodata_230 = .rodata:0x00000230; // type:object size:0x4 data:float
lbl_224_rodata_234 = .rodata:0x00000234; // type:object size:0x4 data:float
lbl_224_rodata_238 = .rodata:0x00000238; // type:object size:0x4 data:float
lbl_224_rodata_23C = .rodata:0x0000023C; // type:object size:0x4 data:float
lbl_224_rodata_240 = .rodata:0x00000240; // type:object size:0x4 data:float
lbl_224_rodata_244 = .rodata:0x00000244; // type:object size:0x4 data:float
lbl_224_rodata_248 = .rodata:0x00000248; // type:object size:0x4 data:float
lbl_224_rodata_24C = .rodata:0x0000024C; // type:object size:0x4 data:float
lbl_224_rodata_250 = .rodata:0x00000250; // type:object size:0x4 data:float
lbl_224_rodata_254 = .rodata:0x00000254; // type:object size:0x4 data:float
lbl_224_rodata_258 = .rodata:0x00000258; // type:object size:0x4 data:float
lbl_224_rodata_25C = .rodata:0x0000025C; // type:object size:0x4 data:float
lbl_224_rodata_260 = .rodata:0x00000260; // type:object size:0x4 data:float
lbl_224_rodata_264 = .rodata:0x00000264; // type:object size:0x4 data:float
lbl_224_rodata_268 = .rodata:0x00000268; // type:object size:0x4 data:float
lbl_224_rodata_26C = .rodata:0x0000026C; // type:object size:0x4 data:float
lbl_224_rodata_270 = .rodata:0x00000270; // type:object size:0x4 data:float
lbl_224_rodata_274 = .rodata:0x00000274; // type:object size:0x4 data:float
lbl_224_rodata_278 = .rodata:0x00000278; // type:object size:0x4 data:float
lbl_224_rodata_27C = .rodata:0x0000027C; // type:object size:0x4 data:float
lbl_224_rodata_280 = .rodata:0x00000280; // type:object size:0x4 data:float
lbl_224_rodata_284 = .rodata:0x00000284; // type:object size:0x4 data:float
lbl_224_rodata_288 = .rodata:0x00000288; // type:object size:0x8 data:float
lbl_224_rodata_290 = .rodata:0x00000290; // type:object size:0x4 data:float
lbl_224_rodata_294 = .rodata:0x00000294; // type:object size:0x4 data:float
lbl_224_rodata_298 = .rodata:0x00000298; // type:object size:0x4 data:float
lbl_224_rodata_29C = .rodata:0x0000029C; // type:object size:0x4 data:float
lbl_224_rodata_2A0 = .rodata:0x000002A0; // type:object size:0x4 data:float
lbl_224_rodata_2A4 = .rodata:0x000002A4; // type:object size:0x4 data:float
lbl_224_rodata_2A8 = .rodata:0x000002A8; // type:object size:0x8 data:float
lbl_224_rodata_2B0 = .rodata:0x000002B0; // type:object size:0x4 data:float
lbl_224_rodata_2B4 = .rodata:0x000002B4; // type:object size:0x4 data:float
lbl_224_rodata_2B8 = .rodata:0x000002B8; // type:object size:0x8 data:double
lbl_224_rodata_2C0 = .rodata:0x000002C0; // type:object size:0x8 data:double
lbl_224_rodata_2C8 = .rodata:0x000002C8; // type:object size:0x8 data:double
lbl_224_rodata_2D0 = .rodata:0x000002D0; // type:object size:0x4 data:float
lbl_224_rodata_2D8 = .rodata:0x000002D8; // type:object size:0x8 data:double
lbl_224_rodata_2E0 = .rodata:0x000002E0; // type:object size:0x8 data:float
lbl_224_rodata_2E8 = .rodata:0x000002E8; // type:object size:0x4 data:float
lbl_224_rodata_2EC = .rodata:0x000002EC; // type:object size:0x4 data:float
lbl_224_rodata_2F0 = .rodata:0x000002F0; // type:object size:0x4 data:float
lbl_224_rodata_2F8 = .rodata:0x000002F8; // type:object size:0x8 data:double
lbl_224_rodata_300 = .rodata:0x00000300; // type:object size:0x4 data:float
lbl_224_rodata_308 = .rodata:0x00000308; // type:object size:0x8 data:double
lbl_224_rodata_310 = .rodata:0x00000310; // type:object size:0x4 data:float
lbl_224_rodata_314 = .rodata:0x00000314; // type:object size:0x4 data:float
lbl_224_rodata_318 = .rodata:0x00000318; // type:object size:0x4 data:float
lbl_224_rodata_31C = .rodata:0x0000031C; // type:object size:0x4 data:float
lbl_224_data_0 = .data:0x00000000; // type:object size:0x10
lbl_224_data_10 = .data:0x00000010; // type:object size:0xC
lbl_224_data_1C = .data:0x0000001C; // type:object size:0xC
lbl_224_data_28 = .data:0x00000028; // type:object size:0xC
lbl_224_data_34 = .data:0x00000034; // type:object size:0x3C
lbl_224_data_70 = .data:0x00000070; // type:object size:0x34
lbl_224_data_A4 = .data:0x000000A4; // type:object size:0x34
lbl_224_data_D8 = .data:0x000000D8; // type:object size:0x44
lbl_224_data_11C = .data:0x0000011C; // type:object size:0x44
lbl_224_data_160 = .data:0x00000160; // type:object size:0x24
lbl_224_data_184 = .data:0x00000184; // type:object size:0x28
lbl_224_data_1AC = .data:0x000001AC; // type:object size:0x10
lbl_224_data_1BC = .data:0x000001BC; // type:object size:0x8
lbl_224_data_1C4 = .data:0x000001C4; // type:object size:0x14
lbl_224_data_1D8 = .data:0x000001D8; // type:object size:0x18
lbl_224_data_1F0 = .data:0x000001F0; // type:object size:0x38
lbl_224_data_228 = .data:0x00000228; // type:object size:0x3C
lbl_224_data_264 = .data:0x00000264; // type:object size:0x44
lbl_224_data_2A8 = .data:0x000002A8; // type:object size:0x44
lbl_224_data_2EC = .data:0x000002EC; // type:object size:0x40
lbl_224_data_32C = .data:0x0000032C; // type:object size:0x2C
lbl_224_data_358 = .data:0x00000358; // type:object size:0x28
lbl_224_data_380 = .data:0x00000380; // type:object size:0xC
lbl_224_data_38C = .data:0x0000038C; // type:object size:0x14
lbl_224_data_3A0 = .data:0x000003A0; // type:object size:0x20
lbl_224_data_3C0 = .data:0x000003C0; // type:object size:0x40
lbl_224_data_400 = .data:0x00000400; // type:object size:0x34
lbl_224_data_434 = .data:0x00000434; // type:object size:0x3C
lbl_224_data_470 = .data:0x00000470; // type:object size:0x48
lbl_224_data_4B8 = .data:0x000004B8; // type:object size:0x3C
lbl_224_data_4F4 = .data:0x000004F4; // type:object size:0x38
lbl_224_data_52C = .data:0x0000052C; // type:object size:0x28
lbl_224_data_554 = .data:0x00000554; // type:object size:0x10
lbl_224_data_564 = .data:0x00000564; // type:object size:0x8
lbl_224_data_56C = .data:0x0000056C; // type:object size:0x14
lbl_224_data_580 = .data:0x00000580; // type:object size:0x1C
lbl_224_data_59C = .data:0x0000059C; // type:object size:0x38
lbl_224_data_5D4 = .data:0x000005D4; // type:object size:0x30
lbl_224_data_604 = .data:0x00000604; // type:object size:0x38
lbl_224_data_63C = .data:0x0000063C; // type:object size:0x44
lbl_224_data_680 = .data:0x00000680; // type:object size:0x44
lbl_224_data_6C4 = .data:0x000006C4; // type:object size:0x3C
lbl_224_data_700 = .data:0x00000700; // type:object size:0x28
lbl_224_data_728 = .data:0x00000728; // type:object size:0xC
lbl_224_data_734 = .data:0x00000734; // type:object size:0x14
lbl_224_data_748 = .data:0x00000748; // type:object size:0x18
lbl_224_data_760 = .data:0x00000760; // type:object size:0x38
lbl_224_data_798 = .data:0x00000798; // type:object size:0x30
lbl_224_data_7C8 = .data:0x000007C8; // type:object size:0x44
lbl_224_data_80C = .data:0x0000080C; // type:object size:0x38
lbl_224_data_844 = .data:0x00000844; // type:object size:0x34
lbl_224_data_878 = .data:0x00000878; // type:object size:0x24
lbl_224_data_89C = .data:0x0000089C; // type:object size:0x28
lbl_224_data_8C4 = .data:0x000008C4; // type:object size:0x14
lbl_224_data_8D8 = .data:0x000008D8; // type:object size:0x14
lbl_224_data_8EC = .data:0x000008EC; // type:object size:0xC
lbl_224_data_8F8 = .data:0x000008F8; // type:object size:0x8
lbl_224_data_900 = .data:0x00000900; // type:object size:0xC
lbl_224_data_90C = .data:0x0000090C; // type:object size:0x8
lbl_224_data_914 = .data:0x00000914; // type:object size:0x4 data:string
lbl_224_data_918 = .data:0x00000918; // type:object size:0x4 data:string
lbl_224_data_91C = .data:0x0000091C; // type:object size:0x40
lbl_224_data_95C = .data:0x0000095C; // type:object size:0xC
lbl_224_data_968 = .data:0x00000968; // type:object size:0x8
lbl_224_data_970 = .data:0x00000970; // type:object size:0x8
lbl_224_data_978 = .data:0x00000978; // type:object size:0x50
lbl_224_data_9C8 = .data:0x000009C8; // type:object size:0x40
lbl_224_data_A08 = .data:0x00000A08; // type:object size:0x90
lbl_224_data_A98 = .data:0x00000A98; // type:object size:0xB0
lbl_224_data_B48 = .data:0x00000B48; // type:object size:0x80
lbl_224_data_BC8 = .data:0x00000BC8; // type:object size:0x1F0
lbl_224_data_DB8 = .data:0x00000DB8; // type:object size:0x1F0
lbl_224_data_FA8 = .data:0x00000FA8; // type:object size:0x1F0
lbl_224_data_1198 = .data:0x00001198; // type:object size:0x1F0
lbl_224_data_1388 = .data:0x00001388; // type:object size:0x1F0
lbl_224_data_1578 = .data:0x00001578; // type:object size:0x200
lbl_224_data_1778 = .data:0x00001778; // type:object size:0x1F0
lbl_224_data_1968 = .data:0x00001968; // type:object size:0x1F0
lbl_224_data_1B58 = .data:0x00001B58; // type:object size:0x1F0
lbl_224_data_1D48 = .data:0x00001D48; // type:object size:0x60
lbl_224_data_1DA8 = .data:0x00001DA8; // type:object size:0x40
lbl_224_data_1DE8 = .data:0x00001DE8; // type:object size:0x40
lbl_224_data_1E28 = .data:0x00001E28; // type:object size:0x1E0
lbl_224_data_2008 = .data:0x00002008; // type:object size:0x1F0
lbl_224_data_21F8 = .data:0x000021F8; // type:object size:0x90
lbl_224_data_2288 = .data:0x00002288; // type:object size:0x490
lbl_224_data_2718 = .data:0x00002718; // type:object size:0xC
lbl_224_data_2724 = .data:0x00002724; // type:object size:0x8
lbl_224_data_272C = .data:0x0000272C; // type:object size:0xF0
lbl_224_data_281C = .data:0x0000281C; // type:object size:0x20
lbl_224_data_283C = .data:0x0000283C; // type:object size:0xF0
lbl_224_data_292C = .data:0x0000292C; // type:object size:0x20
lbl_224_data_294C = .data:0x0000294C; // type:object size:0x20
lbl_224_data_296C = .data:0x0000296C; // type:object size:0x20
lbl_224_data_298C = .data:0x0000298C; // type:object size:0x20
lbl_224_data_29AC = .data:0x000029AC; // type:object size:0x20
lbl_224_data_29CC = .data:0x000029CC; // type:object size:0x20
lbl_224_data_29EC = .data:0x000029EC; // type:object size:0x20
lbl_224_data_2A0C = .data:0x00002A0C; // type:object size:0x20
lbl_224_data_2A2C = .data:0x00002A2C; // type:object size:0x20
lbl_224_data_2A4C = .data:0x00002A4C; // type:object size:0x20
lbl_224_data_2A6C = .data:0x00002A6C; // type:object size:0xE0
lbl_224_data_2B4C = .data:0x00002B4C; // type:object size:0x20
lbl_224_data_2B6C = .data:0x00002B6C; // type:object size:0x20
lbl_224_data_2B8C = .data:0x00002B8C; // type:object size:0xF0
lbl_224_data_2C7C = .data:0x00002C7C; // type:object size:0x20
lbl_224_data_2C9C = .data:0x00002C9C; // type:object size:0x20
lbl_224_data_2CBC = .data:0x00002CBC; // type:object size:0x20
lbl_224_data_2CDC = .data:0x00002CDC; // type:object size:0xF0
lbl_224_data_2DCC = .data:0x00002DCC; // type:object size:0x20
lbl_224_data_2DEC = .data:0x00002DEC; // type:object size:0x20
lbl_224_data_2E0C = .data:0x00002E0C; // type:object size:0x20
lbl_224_data_2E2C = .data:0x00002E2C; // type:object size:0x20
lbl_224_data_2E4C = .data:0x00002E4C; // type:object size:0x20
lbl_224_data_2E6C = .data:0x00002E6C; // type:object size:0xF0
lbl_224_data_2F5C = .data:0x00002F5C; // type:object size:0xF0
lbl_224_data_304C = .data:0x0000304C; // type:object size:0xF0
lbl_224_data_313C = .data:0x0000313C; // type:object size:0x20
lbl_224_data_315C = .data:0x0000315C; // type:object size:0x20
lbl_224_data_317C = .data:0x0000317C; // type:object size:0xF0
lbl_224_data_326C = .data:0x0000326C; // type:object size:0x20
lbl_224_data_328C = .data:0x0000328C; // type:object size:0x20
lbl_224_data_32AC = .data:0x000032AC; // type:object size:0x20
lbl_224_data_32CC = .data:0x000032CC; // type:object size:0x20
lbl_224_data_32EC = .data:0x000032EC; // type:object size:0x20
lbl_224_data_330C = .data:0x0000330C; // type:object size:0xF0
lbl_224_data_33FC = .data:0x000033FC; // type:object size:0xF0
lbl_224_data_34EC = .data:0x000034EC; // type:object size:0xF0
lbl_224_data_35DC = .data:0x000035DC; // type:object size:0x20
